Wed 08 Apr 2026, 11:27AM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
9.231, 19, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=537,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=21,  score=21, BLUE: x=1092,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
9.386, 20, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=537,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=22,  score=22, BLUE: x=1092,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
9.549, 21, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=537,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=23,  score=23, BLUE: x=1092,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
9.693, 22, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=537,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=24,  score=24, BLUE: x=1092,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
9.86, 23, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=537,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=25,  score=25, BLUE: x=1092,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
10.175, 24, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=537,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=26,  score=26, BLUE: x=1092,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
10.343, 25, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=537,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=27,  score=27, BLUE: x=1092,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
10.514, 26, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=537,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=28,  score=28, BLUE: x=1092,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
10.681, 27, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=537,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=29,  score=29, BLUE: x=1092,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
10.854, 28, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=537,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=30,  score=30, BLUE: x=1092,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
11.035, 29, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=537,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=31,  score=31, BLUE: x=1092,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
11.203, 30, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=537,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=32,  score=32, BLUE: x=1092,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
11.374, 31, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=537,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=33,  score=33, BLUE: x=1092,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
11.546, 32, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=537,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=34,  score=34, BLUE: x=1092,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
11.706, 33, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=537,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=35,  score=35, BLUE: x=1092,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
11.872, 34, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=537,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=36,  score=36, BLUE: x=1092,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
12.06, 35, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=941,  y=537,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=37,  score=37, BLUE: x=1092,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
12.216, 36, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=940,  y=537,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=38,  score=38, BLUE: x=1092,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
12.4, 37, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=940,  y=537,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=39,  score=39, BLUE: x=1092,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
12.55, 38, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=940,  y=537,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=40,  score=40, BLUE: x=1092,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
12.718, 39, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=940,  y=537,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=41,  score=41, BLUE: x=1092,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
