Wed 08 Apr 2026, 11:39AM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
4.662, 20, Clicked: RED, x=909,  y=525, Clicked: None, x=909, y=525,  Unknown Color: x=928,  y=530,  dx=0.03561920842100598,  dy=-0.09344127563053138,  clicks=21,  score=21, BLUE: x=1057,  y=403,  dx=-0.08346865924870955,  dy=-0.05507252421328456,  clicks=0,  score=0,
4.837, 21, Clicked: RED, x=909,  y=525, Clicked: None, x=909, y=525,  Unknown Color: x=928,  y=530,  dx=0.03561920842100598,  dy=-0.09344127563053138,  clicks=22,  score=22, BLUE: x=1057,  y=403,  dx=-0.08346865924870955,  dy=-0.05507252421328456,  clicks=0,  score=0,
################# INIT balls ######################
################# INIT balls ######################
1.0, 20, Clicked: RED, x=919,  y=454, Clicked: None, x=919, y=454,  Unknown Color: x=940,  y=466,  dx=0.04946357302059268,  dy=0.08691003937426617,  clicks=1,  score=1, BLUE: x=1039,  y=320,  dx=-0.017237344272652163,  dy=-0.09850316727103788,  clicks=0,  score=0,
1.151, 21, Clicked: RED, x=919,  y=454, Clicked: None, x=919, y=454,  Unknown Color: x=940,  y=466,  dx=0.04946357302059268,  dy=0.08691003937426617,  clicks=2,  score=2, BLUE: x=1039,  y=320,  dx=-0.017237344272652163,  dy=-0.09850316727103788,  clicks=0,  score=0,
1.316, 22, Clicked: RED, x=919,  y=454, Clicked: None, x=919, y=454,  Unknown Color: x=940,  y=466,  dx=0.04946357302059268,  dy=0.08691003937426617,  clicks=3,  score=3, BLUE: x=1039,  y=320,  dx=-0.017237344272652163,  dy=-0.09850316727103788,  clicks=0,  score=0,
1.464, 23, Clicked: RED, x=919,  y=454, Clicked: None, x=919, y=454,  Unknown Color: x=940,  y=466,  dx=0.04946357302059268,  dy=0.08691003937426617,  clicks=4,  score=4, BLUE: x=1039,  y=320,  dx=-0.017237344272652163,  dy=-0.09850316727103788,  clicks=0,  score=0,
1.596, 24, Clicked: RED, x=919,  y=454, Clicked: None, x=919, y=454,  Unknown Color: x=940,  y=466,  dx=0.04946357302059268,  dy=0.08691003937426617,  clicks=5,  score=5, BLUE: x=1039,  y=320,  dx=-0.017237344272652163,  dy=-0.09850316727103788,  clicks=0,  score=0,
1.746, 25, Clicked: RED, x=919,  y=454, Clicked: None, x=919, y=454,  Unknown Color: x=940,  y=466,  dx=0.04946357302059268,  dy=0.08691003937426617,  clicks=6,  score=6, BLUE: x=1039,  y=320,  dx=-0.017237344272652163,  dy=-0.09850316727103788,  clicks=0,  score=0,
1.897, 26, Clicked: RED, x=919,  y=454, Clicked: None, x=919, y=454,  Unknown Color: x=940,  y=466,  dx=0.04946357302059268,  dy=0.08691003937426617,  clicks=7,  score=7, BLUE: x=1039,  y=320,  dx=-0.017237344272652163,  dy=-0.09850316727103788,  clicks=0,  score=0,
2.045, 27, Clicked: RED, x=919,  y=454, Clicked: None, x=919, y=454,  Unknown Color: x=940,  y=466,  dx=0.04946357302059268,  dy=0.08691003937426617,  clicks=8,  score=8, BLUE: x=1039,  y=320,  dx=-0.017237344272652163,  dy=-0.09850316727103788,  clicks=0,  score=0,
2.209, 28, Clicked: RED, x=919,  y=454, Clicked: None, x=919, y=454,  Unknown Color: x=940,  y=466,  dx=0.04946357302059268,  dy=0.08691003937426617,  clicks=9,  score=9, BLUE: x=1039,  y=319,  dx=-0.017237344272652163,  dy=-0.09850316727103788,  clicks=0,  score=0,
2.358, 29, Clicked: RED, x=919,  y=454, Clicked: None, x=919, y=454,  Unknown Color: x=940,  y=466,  dx=0.04946357302059268,  dy=0.08691003937426617,  clicks=10,  score=10, BLUE: x=1039,  y=319,  dx=-0.017237344272652163,  dy=-0.09850316727103788,  clicks=0,  score=0,
2.526, 30, Clicked: RED, x=919,  y=454, Clicked: None, x=919, y=454,  Unknown Color: x=941,  y=466,  dx=0.04946357302059268,  dy=0.08691003937426617,  clicks=11,  score=11, BLUE: x=1039,  y=319,  dx=-0.017237344272652163,  dy=-0.09850316727103788,  clicks=0,  score=0,
2.659, 31, Clicked: RED, x=919,  y=454, Clicked: None, x=919, y=454,  Unknown Color: x=941,  y=466,  dx=0.04946357302059268,  dy=0.08691003937426617,  clicks=12,  score=12, BLUE: x=1039,  y=319,  dx=-0.017237344272652163,  dy=-0.09850316727103788,  clicks=0,  score=0,
2.811, 32, Clicked: RED, x=919,  y=454, Clicked: None, x=919, y=454,  Unknown Color: x=941,  y=466,  dx=0.04946357302059268,  dy=0.08691003937426617,  clicks=13,  score=13, BLUE: x=1039,  y=319,  dx=-0.017237344272652163,  dy=-0.09850316727103788,  clicks=0,  score=0,
2.963, 33, Clicked: RED, x=919,  y=454, Clicked: None, x=919, y=454,  Unknown Color: x=941,  y=466,  dx=0.04946357302059268,  dy=0.08691003937426617,  clicks=14,  score=14, BLUE: x=1039,  y=319,  dx=-0.017237344272652163,  dy=-0.09850316727103788,  clicks=0,  score=0,
3.113, 34, Clicked: RED, x=919,  y=454, Clicked: None, x=919, y=454,  Unknown Color: x=941,  y=466,  dx=0.04946357302059268,  dy=0.08691003937426617,  clicks=15,  score=15, BLUE: x=1039,  y=319,  dx=-0.017237344272652163,  dy=-0.09850316727103788,  clicks=0,  score=0,
3.246, 35, Clicked: RED, x=919,  y=454, Clicked: None, x=919, y=454,  Unknown Color: x=941,  y=466,  dx=0.04946357302059268,  dy=0.08691003937426617,  clicks=16,  score=16, BLUE: x=1039,  y=319,  dx=-0.017237344272652163,  dy=-0.09850316727103788,  clicks=0,  score=0,
