Wed 18 Mar 2026, 04:06PM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
5.187, 0, Clicked: None, x=688, y=840, Clicked: (0, 51, 255), x=688,  y=840,  RED: x=607,  y=354,  dx=-0.04181684686625961,  dy=0.09083694908000706,  clicks=0,  score=0, Unknown Color: x=682,  y=828,  dx=0.07759347394566633,  dy=-0.06308131895453045,  clicks=1,  score=1,
5.324, 1, Clicked: None, x=688, y=840, Clicked: (0, 51, 255), x=688,  y=840,  RED: x=607,  y=354,  dx=-0.04181684686625961,  dy=0.09083694908000706,  clicks=0,  score=0, Unknown Color: x=682,  y=828,  dx=0.07759347394566633,  dy=-0.06308131895453045,  clicks=2,  score=2,
5.473, 2, Clicked: None, x=688, y=840, Clicked: (0, 51, 255), x=688,  y=840,  RED: x=607,  y=354,  dx=-0.04181684686625961,  dy=0.09083694908000706,  clicks=0,  score=0, Unknown Color: x=682,  y=828,  dx=0.07759347394566633,  dy=-0.06308131895453045,  clicks=3,  score=3,
5.621, 3, Clicked: None, x=688, y=840, Clicked: (0, 51, 255), x=688,  y=840,  RED: x=607,  y=354,  dx=-0.04181684686625961,  dy=0.09083694908000706,  clicks=0,  score=0, Unknown Color: x=682,  y=828,  dx=0.07759347394566633,  dy=-0.06308131895453045,  clicks=4,  score=4,
5.757, 4, Clicked: None, x=688, y=840, Clicked: (0, 51, 255), x=688,  y=840,  RED: x=607,  y=354,  dx=-0.04181684686625961,  dy=0.09083694908000706,  clicks=0,  score=0, Unknown Color: x=682,  y=828,  dx=0.07759347394566633,  dy=-0.06308131895453045,  clicks=5,  score=5,
5.906, 5, Clicked: None, x=688, y=840, Clicked: (0, 51, 255), x=688,  y=840,  RED: x=607,  y=354,  dx=-0.04181684686625961,  dy=0.09083694908000706,  clicks=0,  score=0, Unknown Color: x=682,  y=828,  dx=0.07759347394566633,  dy=-0.06308131895453045,  clicks=6,  score=6,
6.038, 6, Clicked: None, x=688, y=839, Clicked: (0, 51, 255), x=688,  y=839,  RED: x=607,  y=354,  dx=-0.04181684686625961,  dy=0.09083694908000706,  clicks=0,  score=0, Unknown Color: x=682,  y=828,  dx=0.07759347394566633,  dy=-0.06308131895453045,  clicks=7,  score=7,
6.186, 7, Clicked: None, x=688, y=839, Clicked: (0, 51, 255), x=688,  y=839,  RED: x=607,  y=354,  dx=-0.04181684686625961,  dy=0.09083694908000706,  clicks=0,  score=0, Unknown Color: x=682,  y=828,  dx=0.07759347394566633,  dy=-0.06308131895453045,  clicks=8,  score=8,
6.319, 8, Clicked: None, x=688, y=839, Clicked: (0, 51, 255), x=688,  y=839,  RED: x=607,  y=354,  dx=-0.04181684686625961,  dy=0.09083694908000706,  clicks=0,  score=0, Unknown Color: x=682,  y=828,  dx=0.07759347394566633,  dy=-0.06308131895453045,  clicks=9,  score=9,
6.453, 9, Clicked: None, x=688, y=839, Clicked: (0, 51, 255), x=688,  y=839,  RED: x=607,  y=354,  dx=-0.04181684686625961,  dy=0.09083694908000706,  clicks=0,  score=0, Unknown Color: x=682,  y=828,  dx=0.07759347394566633,  dy=-0.06308131895453045,  clicks=10,  score=10,
6.604, 10, Clicked: None, x=688, y=838, Clicked: (0, 51, 255), x=688,  y=838,  RED: x=607,  y=354,  dx=-0.04181684686625961,  dy=0.09083694908000706,  clicks=0,  score=0, Unknown Color: x=682,  y=828,  dx=0.07759347394566633,  dy=-0.06308131895453045,  clicks=11,  score=11,
6.738, 11, Clicked: None, x=688, y=838, Clicked: (0, 51, 255), x=688,  y=838,  RED: x=607,  y=354,  dx=-0.04181684686625961,  dy=0.09083694908000706,  clicks=0,  score=0, Unknown Color: x=682,  y=828,  dx=0.07759347394566633,  dy=-0.06308131895453045,  clicks=12,  score=12,
7.019, 12, Clicked: None, x=688, y=838, Clicked: (0, 51, 255), x=688,  y=838,  RED: x=607,  y=354,  dx=-0.04181684686625961,  dy=0.09083694908000706,  clicks=0,  score=0, Unknown Color: x=682,  y=828,  dx=0.07759347394566633,  dy=-0.06308131895453045,  clicks=13,  score=13,
7.152, 13, Clicked: None, x=688, y=838, Clicked: (0, 51, 255), x=688,  y=838,  RED: x=607,  y=354,  dx=-0.04181684686625961,  dy=0.09083694908000706,  clicks=0,  score=0, Unknown Color: x=682,  y=828,  dx=0.07759347394566633,  dy=-0.06308131895453045,  clicks=14,  score=14,
7.303, 14, Clicked: None, x=688, y=838, Clicked: (0, 51, 255), x=688,  y=838,  RED: x=607,  y=354,  dx=-0.04181684686625961,  dy=0.09083694908000706,  clicks=0,  score=0, Unknown Color: x=682,  y=828,  dx=0.07759347394566633,  dy=-0.06308131895453045,  clicks=15,  score=15,
7.421, 15, Clicked: None, x=688, y=838, Clicked: (0, 51, 255), x=688,  y=838,  RED: x=607,  y=354,  dx=-0.04181684686625961,  dy=0.09083694908000706,  clicks=0,  score=0, Unknown Color: x=682,  y=828,  dx=0.07759347394566633,  dy=-0.06308131895453045,  clicks=16,  score=16,
7.552, 16, Clicked: None, x=688, y=838, Clicked: (0, 51, 255), x=688,  y=838,  RED: x=607,  y=354,  dx=-0.04181684686625961,  dy=0.09083694908000706,  clicks=0,  score=0, Unknown Color: x=682,  y=828,  dx=0.07759347394566633,  dy=-0.06308131895453045,  clicks=17,  score=17,
7.67, 17, Clicked: None, x=688, y=838, Clicked: (0, 51, 255), x=688,  y=838,  RED: x=607,  y=354,  dx=-0.04181684686625961,  dy=0.09083694908000706,  clicks=0,  score=0, Unknown Color: x=683,  y=828,  dx=0.07759347394566633,  dy=-0.06308131895453045,  clicks=18,  score=18,
7.769, 18, Clicked: None, x=688, y=838, Clicked: (0, 51, 255), x=688,  y=838,  RED: x=607,  y=354,  dx=-0.04181684686625961,  dy=0.09083694908000706,  clicks=0,  score=0, Unknown Color: x=683,  y=828,  dx=0.07759347394566633,  dy=-0.06308131895453045,  clicks=19,  score=19,
7.902, 19, Clicked: None, x=688, y=838, Clicked: (0, 51, 255), x=688,  y=838,  RED: x=607,  y=354,  dx=-0.04181684686625961,  dy=0.09083694908000706,  clicks=0,  score=0, Unknown Color: x=683,  y=828,  dx=0.07759347394566633,  dy=-0.06308131895453045,  clicks=20,  score=20,
8.019, 20, Clicked: None, x=688, y=838, Clicked: (0, 51, 255), x=688,  y=838,  RED: x=607,  y=354,  dx=-0.04181684686625961,  dy=0.09083694908000706,  clicks=0,  score=0, Unknown Color: x=683,  y=828,  dx=0.07759347394566633,  dy=-0.06308131895453045,  clicks=21,  score=21,
8.168, 21, Clicked: None, x=688, y=835, Clicked: (0, 51, 255), x=688,  y=835,  RED: x=607,  y=354,  dx=-0.04181684686625961,  dy=0.09083694908000706,  clicks=0,  score=0, Unknown Color: x=683,  y=828,  dx=0.07759347394566633,  dy=-0.06308131895453045,  clicks=22,  score=22,
8.304, 22, Clicked: None, x=688, y=835, Clicked: (0, 51, 255), x=688,  y=835,  RED: x=607,  y=354,  dx=-0.04181684686625961,  dy=0.09083694908000706,  clicks=0,  score=0, Unknown Color: x=683,  y=828,  dx=0.07759347394566633,  dy=-0.06308131895453045,  clicks=23,  score=23,
18.24, 23, Clicked: None, x=701, y=816, Clicked: (0, 51, 255), x=701,  y=816,  RED: x=607,  y=355,  dx=-0.04181684686625961,  dy=0.09083694908000706,  clicks=0,  score=0, Unknown Color: x=683,  y=828,  dx=0.07759347394566633,  dy=-0.06308131895453045,  clicks=24,  score=24,
18.37, 24, Clicked: None, x=701, y=816, Clicked: (0, 51, 255), x=701,  y=816,  RED: x=607,  y=355,  dx=-0.04181684686625961,  dy=0.09083694908000706,  clicks=0,  score=0, Unknown Color: x=683,  y=828,  dx=0.07759347394566633,  dy=-0.06308131895453045,  clicks=25,  score=25,
18.487, 25, Clicked: None, x=701, y=816, Clicked: (0, 51, 255), x=701,  y=816,  RED: x=607,  y=355,  dx=-0.04181684686625961,  dy=0.09083694908000706,  clicks=0,  score=0, Unknown Color: x=683,  y=828,  dx=0.07759347394566633,  dy=-0.06308131895453045,  clicks=26,  score=26,
