Wed 18 Mar 2026, 03:41PM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
8.278, 19, Clicked: None, x=742, y=441, Clicked: (0, 51, 255), x=742,  y=441,  RED: x=241,  y=1016,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=720,  y=463,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=20,  score=20,
8.409, 20, Clicked: None, x=742, y=441, Clicked: (0, 51, 255), x=742,  y=441,  RED: x=241,  y=1016,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=720,  y=463,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=21,  score=21,
8.557, 21, Clicked: None, x=742, y=441, Clicked: (0, 51, 255), x=742,  y=441,  RED: x=241,  y=1016,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=720,  y=463,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=22,  score=22,
8.705, 22, Clicked: None, x=742, y=441, Clicked: (0, 51, 255), x=742,  y=441,  RED: x=241,  y=1016,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=720,  y=463,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=23,  score=23,
8.837, 23, Clicked: None, x=742, y=441, Clicked: (0, 51, 255), x=742,  y=441,  RED: x=241,  y=1016,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=720,  y=463,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=24,  score=24,
9.019, 24, Clicked: None, x=742, y=441, Clicked: (0, 51, 255), x=742,  y=441,  RED: x=241,  y=1016,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=720,  y=463,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=25,  score=25,
9.25, 25, Clicked: None, x=742, y=441, Clicked: (0, 51, 255), x=742,  y=441,  RED: x=241,  y=1016,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=721,  y=463,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=26,  score=26,
9.4, 26, Clicked: None, x=742, y=441, Clicked: (0, 51, 255), x=742,  y=441,  RED: x=241,  y=1016,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=721,  y=463,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=27,  score=27,
9.549, 27, Clicked: None, x=742, y=441, Clicked: (0, 51, 255), x=742,  y=441,  RED: x=241,  y=1016,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=721,  y=463,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=28,  score=28,
9.683, 28, Clicked: None, x=742, y=441, Clicked: (0, 51, 255), x=742,  y=441,  RED: x=241,  y=1016,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=721,  y=463,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=29,  score=29,
9.817, 29, Clicked: None, x=742, y=441, Clicked: (0, 51, 255), x=742,  y=441,  RED: x=241,  y=1016,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=721,  y=463,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=30,  score=30,
9.95, 30, Clicked: None, x=742, y=441, Clicked: (0, 51, 255), x=742,  y=441,  RED: x=241,  y=1016,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=721,  y=463,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=31,  score=31,
20.308, 31, Clicked: None, x=708, y=463, Clicked: (0, 51, 255), x=708,  y=463,  RED: x=240,  y=1017,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=721,  y=462,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=32,  score=32,
