Tue 10 Mar 2026, 05:00PM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
10.468, 0, Clicked: None, x=778, y=383, Clicked: None, x=778, y=383, Clicked: None, x=778, y=383,  RED: x=290,  y=576,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=0,  score=0, Unknown Color: x=742,  y=327,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=0,  score=0, Unknown Color: x=1162,  y=259,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=0,  score=0,
13.845, 4, Clicked: None, x=791, y=339, Clicked: (43, 0, 255), x=791,  y=339, Clicked: None, x=791, y=339,  RED: x=311,  y=550,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=0,  score=0, Unknown Color: x=806,  y=305,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=5,  score=5, Unknown Color: x=1119,  y=350,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=9,  score=0,
13.991, 5, Clicked: None, x=791, y=339, Clicked: (43, 0, 255), x=791,  y=339, Clicked: None, x=791, y=339,  RED: x=311,  y=549,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=0,  score=0, Unknown Color: x=809,  y=304,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=6,  score=6, Unknown Color: x=1117,  y=354,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=9,  score=0,
14.14, 6, Clicked: None, x=791, y=339, Clicked: (43, 0, 255), x=791,  y=339, Clicked: None, x=791, y=339,  RED: x=312,  y=547,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=0,  score=0, Unknown Color: x=811,  y=303,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=7,  score=7, Unknown Color: x=1116,  y=358,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=9,  score=0,
14.285, 7, Clicked: None, x=791, y=339, Clicked: (43, 0, 255), x=791,  y=339, Clicked: None, x=791, y=339,  RED: x=313,  y=546,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=0,  score=0, Unknown Color: x=814,  y=302,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=8,  score=8, Unknown Color: x=1114,  y=362,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=9,  score=0,
14.761, 8, Clicked: RED, x=316,  y=516,  Unknown Color: x=316,  y=542,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=1,  score=0, Unknown Color: x=823,  y=299,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=8,  score=8, Unknown Color: x=1108,  y=375,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=9,  score=0,
14.944, 8, Clicked: RED, x=316,  y=516,  Unknown Color: x=317,  y=541,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=2,  score=0, Unknown Color: x=827,  y=298,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=8,  score=8, Unknown Color: x=1105,  y=380,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=9,  score=0,
15.072, 8, Clicked: RED, x=315,  y=516,  Unknown Color: x=318,  y=540,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=3,  score=0, Unknown Color: x=829,  y=297,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=8,  score=8, Unknown Color: x=1104,  y=384,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=9,  score=0,
15.237, 8, Clicked: RED, x=315,  y=514,  Unknown Color: x=319,  y=539,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=4,  score=0, Unknown Color: x=832,  y=296,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=8,  score=8, Unknown Color: x=1102,  y=388,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=9,  score=0,
15.385, 8, Clicked: RED, x=315,  y=513,  Unknown Color: x=320,  y=537,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=5,  score=0, Unknown Color: x=835,  y=295,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=8,  score=8, Unknown Color: x=1100,  y=392,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=9,  score=0,
15.533, 8, Clicked: RED, x=315,  y=513,  Unknown Color: x=321,  y=536,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=6,  score=0, Unknown Color: x=838,  y=295,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=8,  score=8, Unknown Color: x=1098,  y=396,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=9,  score=0,
15.65, 8, Clicked: RED, x=315,  y=512,  Unknown Color: x=322,  y=535,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=7,  score=0, Unknown Color: x=840,  y=294,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=8,  score=8, Unknown Color: x=1096,  y=399,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=9,  score=0,
15.797, 8, Clicked: RED, x=315,  y=512,  Unknown Color: x=323,  y=534,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=8,  score=0, Unknown Color: x=843,  y=293,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=8,  score=8, Unknown Color: x=1094,  y=403,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=9,  score=0,
15.947, 8, Clicked: RED, x=315,  y=512,  Unknown Color: x=323,  y=533,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=9,  score=0, Unknown Color: x=846,  y=292,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=8,  score=8, Unknown Color: x=1093,  y=407,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=9,  score=0,
16.044, 8, Clicked: RED, x=317,  y=509,  Unknown Color: x=324,  y=532,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=10,  score=0, Unknown Color: x=848,  y=291,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=8,  score=8, Unknown Color: x=1091,  y=410,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=9,  score=0,
16.206, 8, Clicked: RED, x=317,  y=509,  Unknown Color: x=325,  y=531,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=11,  score=0, Unknown Color: x=851,  y=290,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=8,  score=8, Unknown Color: x=1089,  y=414,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=9,  score=0,
16.452, 8, Clicked: RED, x=320,  y=498,  Unknown Color: x=326,  y=529,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=12,  score=0, Unknown Color: x=855,  y=289,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=8,  score=8, Unknown Color: x=1086,  y=421,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=9,  score=0,
16.601, 8, Clicked: RED, x=321,  y=498,  Unknown Color: x=327,  y=528,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=13,  score=0, Unknown Color: x=858,  y=288,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=8,  score=8, Unknown Color: x=1084,  y=425,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=9,  score=0,
16.749, 8, Clicked: RED, x=321,  y=497,  Unknown Color: x=328,  y=527,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=14,  score=0, Unknown Color: x=861,  y=287,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=8,  score=8, Unknown Color: x=1082,  y=429,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=9,  score=0,
16.867, 8, Clicked: RED, x=321,  y=496,  Unknown Color: x=329,  y=526,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=863,  y=286,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=8,  score=8, Unknown Color: x=1081,  y=432,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=9,  score=0,
17.415, 8, Clicked: None, x=1051, y=462, Clicked: None, x=1051, y=462, Clicked: (255, 200, 0), x=1051,  y=462,  RED: x=332,  y=521,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=874,  y=283,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=8,  score=8, Unknown Color: x=1074,  y=447,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=10,  score=0,
17.596, 8, Clicked: None, x=1051, y=462, Clicked: None, x=1051, y=462, Clicked: (255, 200, 0), x=1051,  y=462,  RED: x=333,  y=520,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=877,  y=281,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=8,  score=8, Unknown Color: x=1071,  y=452,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=11,  score=0,
17.728, 8, Clicked: None, x=1051, y=462, Clicked: None, x=1051, y=462, Clicked: (255, 200, 0), x=1051,  y=462,  RED: x=334,  y=519,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=879,  y=281,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=8,  score=8, Unknown Color: x=1070,  y=456,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=12,  score=0,
