3.796, 10, Clicked: None, x=734, y=741, Clicked: None, x=734, y=741,  RED: x=306,  y=414,  dx=0.897226449295939,  dy=-0.4415707176475833,  clicks=1,  score=1, BLUE: x=727,  y=642,  dx=0.36903334984261393,  dy=0.9294161536706466,  clicks=6,  score=0,
4.495, 10, Clicked: None, x=745, y=730, Clicked: BLUE, x=745,  y=730,  RED: x=343,  y=396,  dx=0.897226449295939,  dy=-0.4415707176475833,  clicks=1,  score=1, Unknown Color: x=737,  y=681,  dx=-0.36903334984261393,  dy=0.9294161536706466,  clicks=7,  score=0,
4.626, 10, Clicked: None, x=745, y=730, Clicked: BLUE, x=745,  y=730,  RED: x=351,  y=392,  dx=0.897226449295939,  dy=-0.4415707176475833,  clicks=1,  score=1, Unknown Color: x=734,  y=689,  dx=-0.36903334984261393,  dy=0.9294161536706466,  clicks=8,  score=0,
4.776, 10, Clicked: None, x=745, y=730, Clicked: BLUE, x=745,  y=730,  RED: x=359,  y=388,  dx=0.897226449295939,  dy=-0.4415707176475833,  clicks=1,  score=1, Unknown Color: x=730,  y=697,  dx=-0.36903334984261393,  dy=0.9294161536706466,  clicks=9,  score=0,
4.906, 10, Clicked: None, x=745, y=730, Clicked: BLUE, x=745,  y=730,  RED: x=366,  y=385,  dx=0.897226449295939,  dy=-0.4415707176475833,  clicks=1,  score=1, Unknown Color: x=727,  y=705,  dx=-0.36903334984261393,  dy=0.9294161536706466,  clicks=10,  score=0,
################# INIT balls ######################
1.033, 10, Clicked: None, x=185, y=1185, Clicked: None, x=185, y=1185,  RED: x=197,  y=1126,  dx=-0.2653892842207912,  dy=0.964141342242296,  clicks=0,  score=0, BLUE: x=182,  y=1423,  dx=-0.2245541131194428,  dy=0.9744616207327719,  clicks=0,  score=0,
1.283, 10, Clicked: RED, x=197,  y=1140, Clicked: None, x=197, y=1140,  Unknown Color: x=193,  y=1140,  dx=-0.2653892842207912,  dy=0.964141342242296,  clicks=1,  score=1, BLUE: x=179,  y=1438,  dx=-0.2245541131194428,  dy=0.9744616207327719,  clicks=0,  score=0,
2.045, 11, Clicked: None, x=165, y=1361, Clicked: BLUE, x=165,  y=1361,  RED: x=180,  y=1185,  dx=-0.2653892842207912,  dy=0.964141342242296,  clicks=1,  score=1, Unknown Color: x=168,  y=1397,  dx=-0.2245541131194428,  dy=-0.9744616207327719,  clicks=1,  score=0,
2.227, 11, Clicked: None, x=165, y=1361, Clicked: BLUE, x=165,  y=1361,  RED: x=177,  y=1195,  dx=-0.2653892842207912,  dy=0.964141342242296,  clicks=1,  score=1, Unknown Color: x=166,  y=1386,  dx=-0.2245541131194428,  dy=-0.9744616207327719,  clicks=2,  score=0,
2.342, 11, Clicked: None, x=165, y=1361, Clicked: BLUE, x=165,  y=1361,  RED: x=176,  y=1202,  dx=-0.2653892842207912,  dy=0.964141342242296,  clicks=1,  score=1, Unknown Color: x=164,  y=1379,  dx=-0.2245541131194428,  dy=-0.9744616207327719,  clicks=3,  score=0,
2.892, 11, Clicked: None, x=146, y=1169, Clicked: None, x=146, y=1169,  RED: x=167,  y=1228,  dx=-0.16439143517725088,  dy=-0.9945175194607772,  clicks=1,  score=1, BLUE: x=162,  y=1353,  dx=0.12355626407590245,  dy=0.9841972409703013,  clicks=3,  score=0,
3.139, 11, Clicked: RED, x=151,  y=1236, Clicked: None, x=151, y=1236,  Unknown Color: x=165,  y=1213,  dx=-0.16439143517725088,  dy=-0.9945175194607772,  clicks=2,  score=2, BLUE: x=164,  y=1368,  dx=0.12355626407590245,  dy=0.9841972409703013,  clicks=3,  score=0,
3.273, 12, Clicked: RED, x=151,  y=1236, Clicked: None, x=151, y=1236,  Unknown Color: x=163,  y=1205,  dx=-0.16439143517725088,  dy=-0.9945175194607772,  clicks=3,  score=3, BLUE: x=165,  y=1375,  dx=0.12355626407590245,  dy=0.9841972409703013,  clicks=3,  score=0,
3.423, 13, Clicked: RED, x=151,  y=1236, Clicked: None, x=151, y=1236,  Unknown Color: x=162,  y=1196,  dx=-0.16439143517725088,  dy=-0.9945175194607772,  clicks=4,  score=4, BLUE: x=166,  y=1384,  dx=0.12355626407590245,  dy=0.9841972409703013,  clicks=3,  score=0,
4.02, 14, Clicked: None, x=172, y=1415, Clicked: BLUE, x=172,  y=1415,  RED: x=163,  y=1160,  dx=0.16439143517725088,  dy=-0.9945175194607772,  clicks=4,  score=4, Unknown Color: x=170,  y=1420,  dx=0.12355626407590245,  dy=0.9841972409703013,  clicks=4,  score=0,
4.136, 14, Clicked: None, x=172, y=1415, Clicked: BLUE, x=172,  y=1415,  RED: x=164,  y=1153,  dx=0.16439143517725088,  dy=-0.9945175194607772,  clicks=4,  score=4, Unknown Color: x=171,  y=1427,  dx=0.12355626407590245,  dy=0.9841972409703013,  clicks=5,  score=0,
4.287, 14, Clicked: None, x=175, y=1415, Clicked: BLUE, x=175,  y=1415,  RED: x=166,  y=1144,  dx=0.16439143517725088,  dy=-0.9945175194607772,  clicks=4,  score=4, Unknown Color: x=172,  y=1435,  dx=0.12355626407590245,  dy=0.9841972409703013,  clicks=6,  score=0,
4.721, 14, Clicked: RED, x=154,  y=1089, Clicked: None, x=154, y=1089,  Unknown Color: x=170,  y=1118,  dx=0.16439143517725088,  dy=-0.9945175194607772,  clicks=5,  score=5, BLUE: x=175,  y=1419,  dx=0.12355626407590245,  dy=-0.9841972409703013,  clicks=6,  score=0,
4.869, 15, Clicked: RED, x=154,  y=1089, Clicked: None, x=154, y=1089,  Unknown Color: x=171,  y=1109,  dx=0.16439143517725088,  dy=-0.9945175194607772,  clicks=6,  score=6, BLUE: x=177,  y=1410,  dx=0.12355626407590245,  dy=-0.9841972409703013,  clicks=6,  score=0,
################# INIT balls ######################
0.93, 16, Clicked: None, x=508, y=451, Clicked: None, x=508, y=451,  RED: x=528,  y=640,  dx=-0.8268928176660224,  dy=0.5623595541042636,  clicks=0,  score=0, BLUE: x=424,  y=787,  dx=-0.629442605719229,  dy=0.7770469780556303,  clicks=0,  score=0,
