Thu 19 Feb 2026, 09:48PM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
10.582, 0, Clicked: None, x=848, y=388, Clicked: None, x=848, y=388, Clicked: None, x=848, y=388,  RED: x=666,  y=212,  dx=-9.99996227917497,  dy=-0.027466617515750212,  clicks=0,  score=0, Unknown Color: x=1134,  y=244,  dx=-19.956140378018443,  dy=1.3238055796913226,  clicks=0,  score=0, Unknown Color: x=626,  y=382,  dx=-12.914504475875106,  dy=27.07795365500506,  clicks=0,  score=0,
10.714, 0, Clicked: None, x=848, y=388, Clicked: None, x=848, y=388, Clicked: None, x=848, y=388,  RED: x=664,  y=212,  dx=-9.99996227917497,  dy=-0.027466617515750212,  clicks=0,  score=0, Unknown Color: x=1131,  y=244,  dx=-19.956140378018443,  dy=1.3238055796913226,  clicks=0,  score=0, Unknown Color: x=624,  y=385,  dx=-12.914504475875106,  dy=27.07795365500506,  clicks=0,  score=0,
11.6, 0, Clicked: None, x=677, y=423, Clicked: None, x=677, y=423, Clicked: None, x=677, y=423,  RED: x=656,  y=212,  dx=-9.99996227917497,  dy=-0.027466617515750212,  clicks=0,  score=0, Unknown Color: x=1114,  y=245,  dx=-19.956140378018443,  dy=1.3238055796913226,  clicks=0,  score=0, Unknown Color: x=613,  y=409,  dx=-12.914504475875106,  dy=27.07795365500506,  clicks=0,  score=0,
14.44, 4, Clicked: None, x=1064, y=275, Clicked: (43, 0, 255), x=1064,  y=275,  RED: x=627,  y=212,  dx=-9.99996227917497,  dy=-0.027466617515750212,  clicks=8,  score=0, Unknown Color: x=1057,  y=249,  dx=-19.956140378018443,  dy=1.3238055796913226,  clicks=1,  score=0, Unknown Color: x=576,  y=486,  dx=-12.914504475875106,  dy=27.07795365500506,  clicks=4,  score=4,
14.728, 4, Clicked: None, x=1064, y=275, Clicked: (43, 0, 255), x=1064,  y=275,  RED: x=624,  y=212,  dx=-9.99996227917497,  dy=-0.027466617515750212,  clicks=8,  score=0, Unknown Color: x=1051,  y=249,  dx=-19.956140378018443,  dy=1.3238055796913226,  clicks=2,  score=0, Unknown Color: x=572,  y=494,  dx=-12.914504475875106,  dy=27.07795365500506,  clicks=4,  score=4,
14.873, 4, Clicked: None, x=1064, y=275, Clicked: (43, 0, 255), x=1064,  y=275,  RED: x=623,  y=212,  dx=-9.99996227917497,  dy=-0.027466617515750212,  clicks=8,  score=0, Unknown Color: x=1048,  y=250,  dx=-19.956140378018443,  dy=1.3238055796913226,  clicks=3,  score=0, Unknown Color: x=570,  y=498,  dx=-12.914504475875106,  dy=27.07795365500506,  clicks=4,  score=4,
15.389, 4, Clicked: None, x=605, y=524, Clicked: None, x=605, y=524, Clicked: (255, 200, 0), x=605,  y=524,  RED: x=618,  y=212,  dx=-9.99996227917497,  dy=-0.027466617515750212,  clicks=8,  score=0, Unknown Color: x=1038,  y=250,  dx=-19.956140378018443,  dy=1.3238055796913226,  clicks=3,  score=0, Unknown Color: x=564,  y=512,  dx=-12.914504475875106,  dy=27.07795365500506,  clicks=5,  score=5,
15.539, 5, Clicked: None, x=605, y=524, Clicked: None, x=605, y=524, Clicked: (255, 200, 0), x=605,  y=524,  RED: x=616,  y=212,  dx=-9.99996227917497,  dy=-0.027466617515750212,  clicks=8,  score=0, Unknown Color: x=1035,  y=250,  dx=-19.956140378018443,  dy=1.3238055796913226,  clicks=3,  score=0, Unknown Color: x=562,  y=516,  dx=-12.914504475875106,  dy=27.07795365500506,  clicks=6,  score=6,
15.673, 6, Clicked: None, x=605, y=524, Clicked: None, x=605, y=524, Clicked: (255, 200, 0), x=605,  y=524,  RED: x=615,  y=212,  dx=-9.99996227917497,  dy=-0.027466617515750212,  clicks=8,  score=0, Unknown Color: x=1032,  y=251,  dx=-19.956140378018443,  dy=1.3238055796913226,  clicks=3,  score=0, Unknown Color: x=560,  y=520,  dx=-12.914504475875106,  dy=27.07795365500506,  clicks=7,  score=7,
15.772, 7, Clicked: None, x=605, y=524, Clicked: None, x=605, y=524, Clicked: (255, 200, 0), x=605,  y=524,  RED: x=614,  y=212,  dx=-9.99996227917497,  dy=-0.027466617515750212,  clicks=8,  score=0, Unknown Color: x=1030,  y=251,  dx=-19.956140378018443,  dy=1.3238055796913226,  clicks=3,  score=0, Unknown Color: x=559,  y=522,  dx=-12.914504475875106,  dy=27.07795365500506,  clicks=8,  score=8,
################# INIT balls ######################
44.727, 8, Clicked: None, x=953, y=378, Clicked: None, x=953, y=378, Clicked: (0, 255, 30), x=953,  y=378,  Unknown Color: x=676,  y=352,  dx=-35.09583532667324,  dy=35.61295189566621,  clicks=0,  score=0, Unknown Color: x=420,  y=481,  dx=-73.99154312255348,  dy=-25.017163253207958,  clicks=0,  score=0, Unknown Color: x=950,  y=363,  dx=-12.907056593610562,  dy=-61.09665276588385,  clicks=1,  score=1,
45.279, 9, Clicked: (43, 255, 0), x=620,  y=386,  Unknown Color: x=657,  y=372,  dx=-35.09583532667324,  dy=35.61295189566621,  clicks=1,  score=0, Unknown Color: x=379,  y=467,  dx=-73.99154312255348,  dy=-25.017163253207958,  clicks=0,  score=0, Unknown Color: x=943,  y=330,  dx=-12.907056593610562,  dy=-61.09665276588385,  clicks=1,  score=1,
