Tue 10 Mar 2026, 05:05PM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
10.374, 0, Clicked: None, x=912, y=621, Clicked: None, x=912, y=621, Clicked: None, x=912, y=621,  RED: x=1394,  y=496,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=0,  score=0, Unknown Color: x=425,  y=532,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=0,  score=0, Unknown Color: x=1227,  y=259,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=0,  score=0,
17.46, 3, Clicked: None, x=530, y=624, Clicked: (43, 0, 255), x=530,  y=624,  RED: x=1434,  y=437,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=524,  y=634,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=9,  score=0, Unknown Color: x=1125,  y=445,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
17.758, 3, Clicked: None, x=530, y=624, Clicked: (43, 0, 255), x=530,  y=624,  RED: x=1435,  y=435,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=528,  y=638,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=10,  score=0, Unknown Color: x=1121,  y=453,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
17.904, 3, Clicked: None, x=531, y=626, Clicked: (43, 0, 255), x=531,  y=626,  RED: x=1436,  y=434,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=530,  y=640,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=11,  score=0, Unknown Color: x=1118,  y=457,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
18.051, 3, Clicked: None, x=533, y=627, Clicked: (43, 0, 255), x=533,  y=627,  RED: x=1437,  y=433,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=532,  y=642,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=12,  score=0, Unknown Color: x=1116,  y=461,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
18.201, 3, Clicked: None, x=534, y=627, Clicked: (43, 0, 255), x=534,  y=627,  RED: x=1438,  y=431,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=534,  y=644,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=13,  score=0, Unknown Color: x=1114,  y=464,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
18.332, 3, Clicked: None, x=535, y=628, Clicked: (43, 0, 255), x=535,  y=628,  RED: x=1439,  y=430,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=536,  y=646,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=14,  score=0, Unknown Color: x=1112,  y=468,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
18.496, 3, Clicked: None, x=535, y=628, Clicked: (43, 0, 255), x=535,  y=628,  RED: x=1440,  y=429,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=538,  y=649,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=15,  score=0, Unknown Color: x=1110,  y=472,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
18.594, 3, Clicked: None, x=535, y=628, Clicked: (43, 0, 255), x=535,  y=628,  RED: x=1440,  y=428,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=540,  y=650,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=16,  score=0, Unknown Color: x=1108,  y=475,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
18.744, 3, Clicked: None, x=536, y=628, Clicked: (43, 0, 255), x=536,  y=628,  RED: x=1441,  y=427,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=542,  y=652,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=17,  score=0, Unknown Color: x=1106,  y=479,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
18.891, 3, Clicked: None, x=536, y=628, Clicked: (43, 0, 255), x=536,  y=628,  RED: x=1442,  y=426,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=544,  y=654,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=18,  score=0, Unknown Color: x=1104,  y=483,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
19.088, 3, Clicked: None, x=559, y=664, Clicked: (43, 0, 255), x=559,  y=664,  RED: x=1443,  y=424,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=547,  y=657,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=19,  score=0, Unknown Color: x=1101,  y=488,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
19.234, 3, Clicked: None, x=556, y=664, Clicked: (43, 0, 255), x=556,  y=664,  RED: x=1444,  y=423,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=549,  y=659,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=20,  score=0, Unknown Color: x=1099,  y=492,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
